City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,afaahiti,-17.75,-149.2833,84.07,84,85,10.49,PF,2024-04-05
162,cruzeiro do sul,-29.5128,-51.9853,74.52,84,100,6.69,BR,2024-04-05
163,sur,22.5667,59.5289,80.74,57,0,7.4,OM,2024-04-05
164,gisborne,-38.6533,178.0042,56.25,76,15,7.65,NZ,2024-04-05
165,buala,-8.145,159.5921,80.65,83,98,4.65,SB,2024-04-05
166,eyl,7.9803,49.8164,81.36,71,32,14.16,SO,2024-04-05
167,el fasher,13.6279,25.3494,86.18,13,100,9.46,SD,2024-04-05
168,anadyr,64.75,177.4833,-5.3,77,0,8.95,RU,2024-04-05
169,bayanhongor,46.7167,100.1167,27.63,59,58,4.56,MN,2024-04-05
170,pandan,14.0453,124.1694,78.66,86,72,11.05,PH,2024-04-05
171,brak,27.5496,14.2714,77.16,15,87,13.69,LY,2024-04-05
172,suomussalmi,64.8869,28.9078,21.36,85,100,8.79,FI,2024-04-05
173,minas de marcona,-15.2119,-75.1103,70.81,69,100,18.1,PE,2024-04-05
174,klyuchi,52.2667,79.1667,49.57,68,100,6.46,RU,2024-04-05
175,cabo san lucas,22.8909,-109.9124,84.61,49,75,13.0,MX,2024-04-05
176,tashtagol,52.7657,87.8894,38.52,96,81,1.99,RU,2024-04-05
177,tadine,-21.55,167.8833,75.4,81,63,12.68,NC,2024-04-05
178,tommot,58.9564,126.2925,4.73,98,100,1.68,RU,2024-04-05
179,minab,27.1467,57.0801,75.22,67,0,4.47,IR,2024-04-05
180,shawano,44.7822,-88.609,51.78,32,75,3.44,US,2024-04-05
181,auki,-8.7676,160.7034,77.58,91,70,4.74,SB,2024-04-05
182,tazacorte,28.629,-17.9293,70.77,81,0,1.14,ES,2024-04-05
183,lihue,21.9789,-159.3672,74.79,74,75,21.85,US,2024-04-05
184,saint-philippe,-21.3585,55.7679,78.39,86,20,3.87,RE,2024-04-05
185,wailua homesteads,22.0669,-159.378,74.19,75,75,21.85,US,2024-04-05
186,meulan-en-yvelines,49.0077,1.906,63.28,86,0,5.75,FR,2024-04-05
187,north bend,43.4065,-124.2243,51.26,66,20,0.0,US,2024-04-05
188,papatowai,-46.5619,169.4708,50.83,86,46,10.38,NZ,2024-04-05
189,isokyro,63.0117,22.3333,26.89,86,100,7.47,FI,2024-04-05
190,kariapatti,9.6751,78.0999,86.41,61,0,5.64,IN,2024-04-05
191,baganga,7.5739,126.56,77.14,89,99,3.85,PH,2024-04-05
192,tsiombe,-25.3,45.4833,73.51,89,0,3.24,MG,2024-04-05
193,garbahaarrey,3.3289,42.2209,83.57,68,99,8.63,SO,2024-04-05
194,kapuskasing,49.4169,-82.4331,40.5,76,100,11.27,CA,2024-04-05
